Organization,Missing information,Search attempts,Sources checked,Best person to call,Phone number,Exact question to ask,Priority,Recommended next step
Carrot River Junior Senior High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nesd.ca/; https://www.nesd.ca/,School administrative office / principal,306-752-5741,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Weyburn Comprehensive School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.secpsd.ca/; https://www.secpsd.ca/,School administrative office / principal,306-848-0080,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Estevan Comprehensive School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.secpsd.ca/; https://www.secpsd.ca/,School administrative office / principal,306-848-0080,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
McNaughton High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.secpsd.ca/; https://www.secpsd.ca/,School administrative office / principal,306-848-0080,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Carlyle School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.secpsd.ca/; https://www.secpsd.ca/,School administrative office / principal,306-848-0080,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Oxbow Prairie Horizons School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.secpsd.ca/; https://www.secpsd.ca/,School administrative office / principal,306-848-0080,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Lampman School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.secpsd.ca/; https://www.secpsd.ca/,School administrative office / principal,306-848-0080,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Stoughton Central School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.secpsd.ca/; https://www.secpsd.ca/,School administrative office / principal,306-848-0080,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
33 Central School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.secpsd.ca/; https://www.secpsd.ca/,School administrative office / principal,306-848-0080,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Carpenter High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nwsd.ca/; https://www.nwsd.ca/,School administrative office / principal,306-236-5614,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Maidstone High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nwsd.ca/; https://www.nwsd.ca/,School administrative office / principal,306-236-5614,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Turtleford Community School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nwsd.ca/; https://www.nwsd.ca/,School administrative office / principal,306-236-5614,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Pierceland Central School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nwsd.ca/; https://www.nwsd.ca/,School administrative office / principal,306-236-5614,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
St. Walburg School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nwsd.ca/; https://www.nwsd.ca/,School administrative office / principal,306-236-5614,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Lashburn High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nwsd.ca/; https://www.nwsd.ca/,School administrative office / principal,306-236-5614,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Churchill Community High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,School administrative office / principal,306-425-3302,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Dene High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,School administrative office / principal,306-425-3302,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Ministik Community School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,School administrative office / principal,306-425-3302,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Valley View Community School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,School administrative office / principal,306-425-3302,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Twin Lakes Community School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,School administrative office / principal,306-425-3302,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Rossignol High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.rossignolschools.com/o/rhs; https://www.rossignolschools.com/,School administrative office / principal,306-833-2141,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Creighton Community School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.creightonschool.com/contact-us; https://www.creightonschool.com/,School administrative office / principal,306-688-5138,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Greenall High School,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.pvsd.ca/; https://www.pvsd.ca/,School administrative office / principal,306-949-3366,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Lumsden High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.pvsd.ca/; https://www.pvsd.ca/,School administrative office / principal,306-949-3366,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Bert Fox Community High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.pvsd.ca/; https://www.pvsd.ca/,School administrative office / principal,306-949-3366,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Indian Head High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.pvsd.ca/; https://www.pvsd.ca/,School administrative office / principal,306-949-3366,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Balcarres Community School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.pvsd.ca/; https://www.pvsd.ca/,School administrative office / principal,306-949-3366,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Grenfell High Community School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.pvsd.ca/; https://www.pvsd.ca/,School administrative office / principal,306-949-3366,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Kipling School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.pvsd.ca/; https://www.pvsd.ca/,School administrative office / principal,306-949-3366,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Wolseley High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.pvsd.ca/; https://www.pvsd.ca/,School administrative office / principal,306-949-3366,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Rosetown Central High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/,School administrative office / principal,306-882-2677,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Kindersley Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/,School administrative office / principal,306-882-2677,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Outlook High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/,School administrative office / principal,306-882-2677,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Biggar Central School 2000,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/,School administrative office / principal,306-882-2677,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Unity Composite High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/,School administrative office / principal,306-882-2677,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
McLurg High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/,School administrative office / principal,306-882-2677,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Kerrobert Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/,School administrative office / principal,306-882-2677,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Elrose Composite School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/,School administrative office / principal,306-882-2677,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Eatonia School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.sunwestsd.ca/; https://www.sunwestsd.ca/,School administrative office / principal,306-882-2677,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
École canadienne-française – Pavillon Gustave-Dubois,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://ecolefrancophone.com/; https://ecolefrancophone.com/,School administrative office / principal,306-757-7541,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
École Monseigneur de Laval – Pavillon des Quatre Vents,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://ecolefrancophone.com/; https://ecolefrancophone.com/,School administrative office / principal,306-757-7541,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
École Mathieu de Gravelbourg,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://ecolefrancophone.com/; https://ecolefrancophone.com/,School administrative office / principal,306-757-7541,"Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Luther College High School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.luthercollege.edu/high-school/; https://www.luthercollege.edu/high-school/,School administrative office / principal,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Critical,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Athol Murray College of Notre Dame,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.notredame.ca/; https://www.notredame.ca/,School administrative office / principal,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Regina Christian School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.reginachristianschool.org/; https://www.reginachristianschool.org/,School administrative office / principal,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Saskatoon Christian School,current principal; graduation coordinator; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.saskatoonchristianschool.ca/; https://www.saskatoonchristianschool.ca/,School administrative office / principal,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Rosthern Junior College,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://www.rjc.sk.ca/; https://www.rjc.sk.ca/,School administrative office / principal,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",High,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
Regina Huda School,current principal; graduation coordinator; confirmed 2026/2027 date and time; current graduation venue and venue contact; verified school office email; school office phone,"Checked the official school page, division directory, calendar/news/graduation pages and targeted school-name graduation searches.",https://reginahudaschool.ca/; https://reginahudaschool.ca/,School administrative office / principal,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","Who is leading the next Grade 12 graduation, what are the date and venue, and who approves an outside flower and keepsake vendor?",Medium,"Phone the school and update the school, contact and event rows with the named organizer and written approval route."
TCU Place,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://tcuplace.com/planners/,TCU Place Event Sales,306-975-7777,"For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
TCU Place,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://tcuplace.com/,TCU Place Client Services,306-975-7799,"For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
Merlis Belsher Place,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://merlisbelsherplace.ca/bookings-and-rates-at-merlis-belcher-place/,Merlis Belsher Place Event Booking,306-385-3200,"For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
Prairieland Park,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://prairielandpark.com/contact/,Prairieland Park Event Booking,306-931-7149,"For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
Conexus Arts Centre,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://conexusartscentre.ca/event-spaces/,Conexus Arts Centre Event Spaces,306-565-4500,"For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
Art Hauser Centre,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://www.citypa.ca/en/parks-recreation-and-culture/art-hauser-centre.aspx,Art Hauser Centre Facility Booking,306-953-4848,"For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
EA Rawlinson Centre,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://www.earc.ca/,EA Rawlinson Centre Event Booking,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
Dekker Centre,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://dekkercentre.com/,Dekker Centre Event Sales,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
Gallagher Centre,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://www.yorkton.ca/en/parks-recreation-and-culture/gallagher-centre.aspx,Gallagher Centre Facility Booking,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
InnovationPlex,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://www.swiftcurrent.ca/divisions/community-services/recreation-parks-and-culture/facilities/innovationplex,InnovationPlex Facility Booking,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
Kerry Vickar Centre,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://www.melfort.ca/p/kerry-vickar-centre,Kerry Vickar Centre Facility Booking,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
REAL District / Queensbury Convention Centre,"written non-food vendor rules, insurance limits, fees/commission, concessions conflicts and loading instructions","Checked official booking, event-space and FAQ pages; complete ceremony-retail terms were not public.",https://realdistrict.ca/venues/queensbury-convention-centre/,Queensbury Convention Centre Event Sales,"Not publicly available after checks of the official organization or school website, staff/contact directory, board or event page, and targeted role search; phone or contact-form routing is required.","For a school-approved flower and keepsake stand, what insurance, fee, exclusivity, signage and load-in rules apply?",High,Obtain written terms before pricing or committing inventory.
