Event ID,School,Division,Event name,Confirmed or estimated date,Ceremony time,Venue,Venue operator,City,Approximate graduates,Estimated attendance,Primary school contact,Venue contact,Existing vendor,Product fit,Approval authority,Opportunity score,Opportunity tier,Recommended next step,Source,Date verified
EVT-065,Aberdeen Composite School,Prairie Spirit School Division No. 206,Aberdeen Composite School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Aberdeen,Estimated 20–240 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,66,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
EVT-066,Hanley Composite School,Prairie Spirit School Division No. 206,Hanley Composite School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Hanley,Estimated 20–240 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,64,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.spiritsd.ca/; https://www.spiritsd.ca/,2026-06-26
EVT-067,Humboldt Collegiate Institute,Horizon School Division No. 205,Humboldt Collegiate Institute Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Humboldt,Estimated 20–140 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,80,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,2026-06-26
EVT-068,Lanigan Central High School,Horizon School Division No. 205,Lanigan Central High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Lanigan,Estimated 20–140 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,68,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,2026-06-26
EVT-069,Wynyard Composite High School,Horizon School Division No. 205,Wynyard Composite High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Wynyard,Estimated 20–140 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,68,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,2026-06-26
EVT-070,Winston High School,Horizon School Division No. 205,Winston High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Watrous,Estimated 20–140 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,66,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,2026-06-26
EVT-071,Davidson School,Horizon School Division No. 205,Davidson School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Davidson,Estimated 20–140 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,64,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.horizonsd.ca/; https://www.horizonsd.ca/,2026-06-26
EVT-072,Melfort and Unit Comprehensive Collegiate,North East School Division No. 200,Melfort and Unit Comprehensive Collegiate Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Melfort,Estimated 20–180 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,82,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nesd.ca/; https://www.nesd.ca/,2026-06-26
EVT-073,L.P. Miller Comprehensive School,North East School Division No. 200,L.P. Miller Comprehensive School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Nipawin,Estimated 20–180 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,76,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nesd.ca/; https://www.nesd.ca/,2026-06-26
EVT-074,Tisdale Middle and Secondary School,North East School Division No. 200,Tisdale Middle and Secondary School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Tisdale,Estimated 20–180 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,73,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nesd.ca/; https://www.nesd.ca/,2026-06-26
EVT-075,Hudson Bay Community School,North East School Division No. 200,Hudson Bay Community School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Hudson Bay,Estimated 20–180 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,65,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nesd.ca/; https://www.nesd.ca/,2026-06-26
EVT-076,Carrot River Junior Senior High School,North East School Division No. 200,Carrot River Junior Senior High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Carrot River,Estimated 20–180 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,63,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nesd.ca/; https://www.nesd.ca/,2026-06-26
EVT-077,Weyburn Comprehensive School,South East Cornerstone School Division No. 209,Weyburn Comprehensive School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Weyburn,Estimated 10–200 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,84,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.secpsd.ca/; https://www.secpsd.ca/,2026-06-26
EVT-078,Estevan Comprehensive School,South East Cornerstone School Division No. 209,Estevan Comprehensive School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Estevan,Estimated 10–200 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.",School principal/graduation committee; division review may apply; venue approval must be added once venue is known,84,Tier 1,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.secpsd.ca/; https://www.secpsd.ca/,2026-06-26
EVT-079,McNaughton High School,South East Cornerstone School Division No. 209,McNaughton High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Moosomin,Estimated 10–200 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,72,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.secpsd.ca/; https://www.secpsd.ca/,2026-06-26
EVT-080,Carlyle School,South East Cornerstone School Division No. 209,Carlyle School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Carlyle,Estimated 10–200 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,66,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.secpsd.ca/; https://www.secpsd.ca/,2026-06-26
EVT-081,Oxbow Prairie Horizons School,South East Cornerstone School Division No. 209,Oxbow Prairie Horizons School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Oxbow,Estimated 10–200 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,65,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.secpsd.ca/; https://www.secpsd.ca/,2026-06-26
EVT-082,Lampman School,South East Cornerstone School Division No. 209,Lampman School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Lampman,Estimated 10–200 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,58,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.secpsd.ca/; https://www.secpsd.ca/,2026-06-26
EVT-083,Stoughton Central School,South East Cornerstone School Division No. 209,Stoughton Central School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Stoughton,Estimated 10–200 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,58,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.secpsd.ca/; https://www.secpsd.ca/,2026-06-26
EVT-084,33 Central School,South East Cornerstone School Division No. 209,33 Central School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Fillmore,Estimated 10–200 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,54,Tier 4,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.secpsd.ca/; https://www.secpsd.ca/,2026-06-26
EVT-085,Carpenter High School,Northwest School Division No. 203,Carpenter High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Meadow Lake,Estimated 15–150 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,80,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nwsd.ca/; https://www.nwsd.ca/,2026-06-26
EVT-086,Maidstone High School,Northwest School Division No. 203,Maidstone High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Maidstone,Estimated 15–150 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,68,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nwsd.ca/; https://www.nwsd.ca/,2026-06-26
EVT-087,Turtleford Community School,Northwest School Division No. 203,Turtleford Community School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Turtleford,Estimated 15–150 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,64,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nwsd.ca/; https://www.nwsd.ca/,2026-06-26
EVT-088,Pierceland Central School,Northwest School Division No. 203,Pierceland Central School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Pierceland,Estimated 15–150 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,62,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nwsd.ca/; https://www.nwsd.ca/,2026-06-26
EVT-089,St. Walburg School,Northwest School Division No. 203,St. Walburg School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,St. Walburg,Estimated 15–150 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,61,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nwsd.ca/; https://www.nwsd.ca/,2026-06-26
EVT-090,Lashburn High School,Northwest School Division No. 203,Lashburn High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Lashburn,Estimated 15–150 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,64,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nwsd.ca/; https://www.nwsd.ca/,2026-06-26
EVT-091,Churchill Community High School,Northern Lights School Division No. 113,Churchill Community High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,La Ronge,Estimated 10–100 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,76,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,2026-06-26
EVT-092,Dene High School,Northern Lights School Division No. 113,Dene High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,La Loche,Estimated 10–100 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,70,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,2026-06-26
EVT-093,Ministik Community School,Northern Lights School Division No. 113,Ministik Community School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Pinehouse,Estimated 10–100 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,61,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,2026-06-26
EVT-094,Valley View Community School,Northern Lights School Division No. 113,Valley View Community School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Beauval,Estimated 10–100 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,61,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,2026-06-26
EVT-095,Twin Lakes Community School,Northern Lights School Division No. 113,Twin Lakes Community School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Buffalo Narrows,Estimated 10–100 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,62,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.nlsd113.ca/; https://www.nlsd113.ca/,2026-06-26
EVT-096,Rossignol High School,Île-à-la-Crosse School Division No. 112,Rossignol High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Île-à-la-Crosse,Estimated 10–100 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,66,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.rossignolschools.com/; https://www.rossignolschools.com/,2026-06-26
EVT-097,Creighton Community School,Creighton School Division No. 111,Creighton Community School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Creighton,Estimated 10–100 graduates; verify.,Estimated 75–400 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Moderate: preorder-first pilot with limited inventory.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,66,Tier 3,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.creightonschool.com/; https://www.creightonschool.com/,2026-06-26
EVT-098,Greenall High School,Prairie Valley School Division No. 208,Greenall High School Grade 12 Graduation,2026-06-29 — Confirmed,"Not publicly available after official graduation, calendar and venue-page checks.",Conexus Arts Centre,Conexus Arts Centre,Balgonie,Estimated 15–170 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Conexus Arts Centre Event Spaces — reception@conexusartscentre.ca / 306-565-4500,No current flower or graduation-gift vendor was publicly verified for this school event.,"Very strong: flowers, bears, necklaces, approved school apparel/keepsakes and family preorder bundles.","School principal/gradation committee, division administration where required, and outside venue",84,Tier 1,"Contact the school office/principal now, confirm the graduation lead and ask whether the venue or division controls retail.",https://www.pvsd.ca/; https://www.pvsd.ca/,2026-06-26
EVT-099,Lumsden High School,Prairie Valley School Division No. 208,Lumsden High School Grade 12 Graduation,Estimated annual late May–June timing; no confirmed 2026 or 2027 date was publicly located.,"Not publicly available after official graduation, calendar and venue-page checks.","Not publicly available after official school calendar, graduation-page and venue searches.",Venue/operator not publicly identified because the current ceremony location was not confirmed.,Lumsden,Estimated 15–170 graduates; verify.,Estimated 250–900 guests; confirm with school.,School office / principal routing,Venue contact cannot be finalized until the school confirms the ceremony location.,No current flower or graduation-gift vendor was publicly verified for this school event.,Strong: flowers and smaller preorder bundles; inventory should match confirmed attendance.,School principal/graduation committee; division review may apply; venue approval must be added once venue is known,76,Tier 2,"Call the school office to confirm the next date, venue, graduating class and graduation lead before proposing inventory.",https://www.pvsd.ca/; https://www.pvsd.ca/,2026-06-26
